Date,"Python"
2017-12-21,222
2017-12-22,233
2017-12-23,191
2017-12-24,134
2017-12-25,189
2017-12-26,207
2017-12-27,249
2017-12-28,259
2017-12-29,249
2017-12-30,200
2017-12-31,140
